,trial_num,frame,val_reward,proportion,std_weights,noisy_weights,std_buffer_example_count,noisy_buffer_example_count
0,0,0,24.6,0.7710193452380952,0.0007751646518534891,0.009576904859841306,104,96
1,1,200,38.7,0.8540251358695652,0.0004000314393450912,0.004497531300113202,195,205
2,2,400,24.5,0.8690580985915493,0.00028288498263927915,0.0030690227083428395,302,298
3,3,600,32.0,0.8777669270833334,0.0002540740855608086,0.002281404429609454,407,393
4,4,800,11.1,0.8811660640495868,0.00016618684802233475,0.0018338131776472438,500,500
5,5,1000,9.9,0.871628852739726,0.00027069445383751605,0.001401626901491272,603,597
6,6,1200,9.3,0.8589866593567251,0.0002936142886477463,0.001160978037665601,721,679
7,7,1400,9.1,0.8502471301020408,0.0002796571257461521,0.0009953936698691463,828,772
8,8,1600,9.7,0.8432197398190046,0.00024916340358350743,0.0008808998221905793,927,873
9,9,1800,9.5,0.8395102896341463,0.00020702761038058137,0.0008092319326244077,1027,973
10,10,2000,11.9,0.8304889298892989,0.0002195588609621654,0.0007054333398241568,1136,1064
11,11,2200,9.4,0.8250105574324325,0.00019521498173663066,0.0006486996656166079,1228,1172
12,12,2400,9.8,0.8206167250778816,0.00018005259630626824,0.0005955707304600821,1320,1280
13,13,2600,9.2,0.8159659501445087,0.00018352624234895302,0.0005386223472900565,1431,1369
14,14,2800,9.7,0.8128158692722371,0.00016572138437822128,0.000509423263377103,1537,1463
15,15,3000,9.6,0.8086627998737373,0.00013960118193013385,0.0004951771714969981,1644,1556
16,16,3200,9.2,0.8060699970308789,0.0001265271504729434,0.0004681384752957478,1732,1668
17,17,3400,39.2,0.8036189742152466,0.00012869409282727603,0.0004336380061689934,1840,1760
18,18,3600,16.9,0.8017764729299363,0.0001092449481372663,0.00042318439898885346,1937,1863
19,19,3800,11.4,0.8008600050403226,0.00010652570942602994,0.00039858534168410925,2035,1965
20,20,4000,10.0,0.798187080134357,0.00012595268873731268,0.0003563825674623749,2156,2044
21,21,4200,10.1,0.7955514537545788,0.00011052498346479765,0.0003516940445654189,2270,2130
22,22,4400,37.3,0.792818246497373,0.00010762414546501956,0.00033578903741252026,2387,2213
23,23,4600,9.1,0.791041841442953,0.00010291098594688992,0.00032197041813111804,2490,2310
24,24,4800,18.6,0.7895405595813204,9.613671615146803e-05,0.0003120687046191624,2595,2405
25,25,5000,12.0,0.7879075561145511,9.221447139255977e-05,0.00030057506404350376,2702,2498
26,26,5200,14.1,0.7872811102831595,7.657732967358578e-05,0.0003007678233828632,2784,2616
27,27,5400,52.3,0.7862787356321839,7.885827911551299e-05,0.00028422553218294776,2881,2719
28,28,5600,64.0,0.7860122659500693,6.738020233852626e-05,0.0002830243612168214,2975,2825
29,29,5800,53.7,0.7856694034852547,6.77476862900123e-05,0.000270936271546258,3079,2921
30,30,6000,87.2,0.7854298394941635,6.261210903057799e-05,0.0002664112138058351,3198,3002
31,31,6200,140.3,0.7851022691582915,6.402056496581823e-05,0.00025498412006930176,3309,3091
32,32,6400,184.4,0.7846947320341048,6.44316521183094e-05,0.0002467187048289692,3447,3153
33,33,6600,67.6,0.7847406914893617,6.0411923216261396e-05,0.00024136983481371462,3544,3256
34,34,6800,103.6,0.7847615886911596,6.267644891896416e-05,0.00023021820000421805,3650,3350
35,35,7000,160.0,0.7842276436941964,6.58998077430862e-05,0.0002184016563496244,3754,3446
36,36,7200,170.8,0.7834130700325733,5.682431820338473e-05,0.000220063771085977,3850,3550
37,37,7400,160.3,0.7827612975687104,5.572323412677297e-05,0.00021388604607147752,3955,3645
38,38,7600,181.9,0.7824930805870237,5.9258363845471785e-05,0.00020293583155031806,4057,3743
39,39,7800,147.6,0.7826971950301205,4.635124966869945e-05,0.0002099897289000562,4155,3845
40,40,8000,181.8,0.7824398567580804,5.6787198244883044e-05,0.00019230455486627675,4257,3943
41,41,8200,183.3,0.7821425370458891,5.4194551456082916e-05,0.00018897084873733755,4358,4042
42,42,8400,184.1,0.7820013422035481,5.48362078546973e-05,0.00018250196929871045,4461,4139
43,43,8600,175.2,0.7817561017335767,4.559962916161065e-05,0.00018730927859620706,4575,4225
44,44,8800,153.7,0.7816228534790366,4.8020837581335565e-05,0.00017958071260527908,4684,4316
45,45,9000,174.2,0.7815124618237347,4.6152128349623784e-05,0.00017656925933239744,4788,4412
46,46,9200,197.4,0.7813400672502135,4.939978182344263e-05,0.00016798337867825723,4883,4517
47,47,9400,191.4,0.7810115750418061,4.5887912425432724e-05,0.0001670390775095484,4982,4618
48,48,9600,190.3,0.780875691031941,4.384627906781857e-05,0.0001649047628252694,5089,4711
49,49,9800,157.9,0.7805289426163724,4.44332806740222e-05,0.00015993258228770603,5189,4811
