,trial_num,frame,val_reward,proportion,std_weights,noisy_weights,std_buffer_example_count,noisy_buffer_example_count
0,0,0,50.3,0.23232886904761904,0.007776987918336457,0.0016737180271943943,109,91
1,1,200,9.8,0.24388586956521738,0.003742358177215933,0.0012822427450191866,198,202
2,2,400,9.1,0.2550616197183099,0.0023401666796605963,0.000956262592070547,308,292
3,3,600,21.1,0.2639567057291667,0.0015681979038534104,0.0008630500360384763,439,361
4,4,800,9.1,0.2678202479338843,0.0013029788122445683,0.0006236540693515971,554,446
5,5,1000,8.6,0.2654377140410959,0.0011878867144864405,0.0003896426419641038,667,533
6,6,1200,9.4,0.26078216374269003,0.0009742608168924263,0.00039377413079440526,773,627
7,7,1400,9.7,0.25328842474489793,0.0009396388323816676,0.00023946881841763946,881,719
8,8,1600,9.2,0.24609375,0.0007999353599127417,0.00025619775271331757,991,809
9,9,1800,9.3,0.24277502540650406,0.0007197954036646463,0.00023244417166045628,1098,902
10,10,2000,9.3,0.23903078874538744,0.0006574522573386405,0.00021016270909047876,1202,998
11,11,2200,9.0,0.2337547508445946,0.000641587227920855,0.00014680324046318532,1309,1091
12,12,2400,9.4,0.2296047507788162,0.0005907673042425914,0.00013883219348326625,1414,1186
13,13,2600,181.5,0.22603188222543352,0.0005337099877373324,0.0001471673847560439,1521,1279
14,14,2800,9.7,0.22269836590296496,0.0005041723473280784,0.00012842675071401098,1636,1364
15,15,3000,9.5,0.21860203598484848,0.0004948980440185979,9.539514338836159e-05,1739,1461
16,16,3200,9.3,0.21437054631828978,0.0004721016624237946,8.517986375689353e-05,1836,1564
17,17,3400,11.3,0.2106134389013453,0.0004406530870979548,8.31219016225599e-05,1960,1640
18,18,3600,10.6,0.20763667728237792,0.00040957957527464094,8.833108404616597e-05,2068,1732
19,19,3800,9.6,0.2047788558467742,0.00039620151301111275,7.540827113732443e-05,2177,1823
20,20,4000,13.1,0.20119811660268713,0.0003802501640528595,6.99327745664973e-05,2276,1924
21,21,4200,9.3,0.19749456272893773,0.00037204186119673766,5.717079545843255e-05,2377,2023
22,22,4400,14.5,0.1947310091943958,0.00034521040883154,6.760516371099273e-05,2482,2118
23,23,4600,10.9,0.19276295092281878,0.0003347153353926859,6.133380463612249e-05,2581,2219
24,24,4800,84.4,0.1901796497584541,0.0003280706855312661,5.086140308144857e-05,2690,2310
25,25,5000,198.6,0.18745162538699692,0.00031750617638529694,4.759234768805195e-05,2788,2412
26,26,5200,129.3,0.184676555514158,0.0003066269627201355,4.452240913793655e-05,2898,2502
27,27,5400,169.5,0.18203910739942528,0.00030023545860303596,3.859241209927367e-05,2996,2604
28,28,5600,104.0,0.1794545336338419,0.00028957598327608786,3.891544417216148e-05,3089,2711
29,29,5800,127.8,0.17728405663538874,0.00027763476005536735,4.0607852784534564e-05,3191,2809
30,30,6000,200.0,0.1753354004539559,0.00027081229408507123,3.7626776194492844e-05,3288,2912
31,31,6200,189.8,0.17355331344221106,0.00025783376481351104,4.169809624078104e-05,3392,3008
32,32,6400,174.7,0.17211765377588306,0.00025142415034162965,3.9193889318492934e-05,3493,3107
33,33,6600,184.7,0.17028202570921985,0.00024622387039558585,3.562977364434929e-05,3598,3202
34,34,6800,200.0,0.16861007462686567,0.00023904867007709053,3.4882304371840695e-05,3702,3298
35,35,7000,186.5,0.16690935407366073,0.0002320974993449203,3.4482070157805414e-05,3804,3396
36,36,7200,200.0,0.16520341340933767,0.0002300364597198753,2.921579683641252e-05,3903,3497
37,37,7400,198.1,0.16362067256871035,0.0002288671826350333,2.3080777090104497e-05,4007,3593
38,38,7600,192.4,0.16175736997940268,0.0002223314308490516,2.368826319635745e-05,4104,3696
39,39,7800,170.6,0.16021900100401607,0.0002135494264632594,2.644022092606502e-05,4214,3786
40,40,8000,180.7,0.15867562438785504,0.00021164580646992776,2.139863634397148e-05,4334,3866
41,41,8200,193.6,0.15695581381453155,0.0002064539742139412,2.1327059134206826e-05,4434,3966
42,42,8400,184.9,0.15541112278244631,0.00020073176713193371,2.2193620148828905e-05,4532,4068
43,43,8600,143.5,0.15388700387773724,0.00019587310512063344,2.1994353729612028e-05,4638,4162
44,44,8800,187.7,0.15234375,0.0001942160492377554,1.8104818051995296e-05,4753,4247
45,45,9000,155.5,0.1506326352530541,0.00019043913630828726,1.711808523997498e-05,4861,4339
46,46,9200,192.0,0.1490579632792485,0.00018779553250213745,1.492947771414876e-05,4973,4427
47,47,9400,191.6,0.14744134092809363,0.0001822434377214221,1.6709636751893294e-05,5072,4528
48,48,9600,169.0,0.145871723996724,0.00018113974061037481,1.313595648570902e-05,5186,4614
49,49,9800,136.0,0.14438076845906903,0.00017447220364647382,1.6491295642212936e-05,5286,4714
