,trial_num,frame,val_reward,proportion,std_weights,noisy_weights,std_buffer_example_count,noisy_buffer_example_count
0,0,0,17.9,0.44233630952380953,0.005195425154249135,0.004823186663201168,95,105
1,1,200,15.3,0.49125339673913043,0.002473943188686534,0.0025206818955328166,177,223
2,2,400,12.7,0.514799735915493,0.001770874403185152,0.0015831126425241877,267,333
3,3,600,14.1,0.5198160807291666,0.00126051728391199,0.0012409046871260912,371,429
4,4,800,13.9,0.5196926652892562,0.0010187881887111995,0.000983204418210362,472,528
5,5,1000,9.6,0.4903146404109589,0.0012029623591733464,0.0005055492071487206,564,636
6,6,1200,34.1,0.4576480263157895,0.0011479044506384438,0.00032420533294705777,663,737
7,7,1400,9.2,0.43185985331632654,0.0009997532772147274,0.000288477839835688,757,843
8,8,1600,45.7,0.41321408371040724,0.0008483330758090867,0.00028769519880409057,860,940
9,9,1800,37.8,0.3999142530487805,0.0007428769192226764,0.00027714934435585777,957,1043
10,10,2000,88.7,0.39079797047970477,0.0006750982813287972,0.00024834697849538854,1063,1137
11,11,2200,31.6,0.3806086359797297,0.000628901504690935,0.00021779287215114605,1161,1239
12,12,2400,29.0,0.37190907320872274,0.000583516000838391,0.0001938086873087604,1273,1327
13,13,2600,112.0,0.36402637283236994,0.0005179399476596886,0.00020353225421755706,1368,1432
14,14,2800,28.1,0.3590064858490566,0.0004599495859787036,0.00020988457628230426,1481,1519
15,15,3000,24.6,0.3564946338383838,0.000426946384423296,0.00020129734352258282,1577,1623
16,16,3200,15.3,0.3539656324228028,0.0004247324102435129,0.00016518234261027185,1689,1711
17,17,3400,10.2,0.34946924047085204,0.00041911795941623097,0.0001362804207601908,1801,1799
18,18,3600,106.0,0.3453008890658174,0.0003926851767616082,0.00013239767669954893,1909,1891
19,19,3800,9.6,0.34108807963709675,0.0003530871673189468,0.0001436668055872945,2031,1969
20,20,4000,9.0,0.3381193018234165,0.0003382302080669404,0.0001353518182081132,2127,2073
21,21,4200,13.3,0.33482142857142855,0.00033011925984702885,0.00012244385132023446,2221,2179
22,22,4400,34.3,0.3313129378283713,0.0003127667777973512,0.00012059544404534727,2317,2283
23,23,4600,27.7,0.3289311556208054,0.00030365311819474314,0.00011221592304007945,2410,2390
24,24,4800,102.3,0.3265775966183575,0.00029098994639061856,0.00010901004374172772,2500,2500
25,25,5000,10.2,0.325047165247678,0.00027050010050389087,0.00011530905363362332,2580,2620
26,26,5200,23.0,0.3230078707153502,0.0002759870249400823,9.74255167430715e-05,2654,2746
27,27,5400,82.8,0.32141814834770116,0.0002647188643656392,9.526833065471102e-05,2753,2847
28,28,5600,60.9,0.3195540048543689,0.00026019138423608734,8.731871669876218e-05,2855,2945
29,29,5800,57.9,0.3177362600536193,0.0002464905274684547,8.899523908146935e-05,2959,3041
30,30,6000,72.5,0.3163201199740597,0.00023813788248410562,8.640067547038465e-05,3060,3140
31,31,6200,150.3,0.3148457129396985,0.00023872747833370502,7.449107498486017e-05,3186,3214
32,32,6400,122.0,0.3129472442143727,0.00022801330941292955,7.584699259654554e-05,3282,3318
33,33,6600,130.4,0.31124870715130026,0.00022250132171926454,7.284874189869189e-05,3372,3428
34,34,6800,82.1,0.30961179678530426,0.0002175476212494761,6.99796450791825e-05,3457,3543
35,35,7000,160.1,0.30787876674107145,0.00021545769310397724,6.329226954996608e-05,3577,3623
36,36,7200,140.2,0.3056926913680782,0.00020436524856578427,6.631541711308564e-05,3689,3711
37,37,7400,170.2,0.304014435782241,0.0002027333628868167,6.124367400096563e-05,3778,3822
38,38,7600,84.5,0.3023783470648816,0.0001945586900397203,6.225864732793222e-05,3888,3912
39,39,7800,115.4,0.30082439131526106,0.00019368140614358883,5.669530589902043e-05,3989,4011
40,40,8000,151.0,0.299292972575906,0.00018126211558068536,6.304398732078328e-05,4086,4114
41,41,8200,174.5,0.29822314173040154,0.00018155538254262235,5.7455807180300096e-05,4169,4231
42,42,8400,147.4,0.29702089169000934,0.00018004233222482913,5.2988560186724036e-05,4284,4316
43,43,8600,143.0,0.29581646327554745,0.00017700856122902642,5.083768354248868e-05,4380,4420
44,44,8800,136.0,0.29438698706512045,0.00017419573717268965,4.869583071673247e-05,4476,4524
45,45,9000,148.1,0.29311531958987785,0.00016553415408948708,5.232474292389172e-05,4581,4619
46,46,9200,185.2,0.2915243381725021,0.00016993279971345648,4.339852484288122e-05,4679,4721
47,47,9400,193.0,0.29005865907190637,0.00016369844588408586,4.4931799443599773e-05,4788,4812
48,48,9600,179.4,0.28877457002457,0.0001624701751060308,4.2029304559186796e-05,4883,4917
49,49,9800,161.0,0.2873507724719101,0.0001601156366976455,4.038721996742926e-05,4979,5021
