,trial_num,frame,val_reward,proportion,std_weights,noisy_weights,std_buffer_example_count,noisy_buffer_example_count
0,0,0,14.8,0.19289434523809523,0.00783933783194308,0.0013862975334988773,112,88
1,1,200,14.3,0.17179008152173914,0.004291060393280523,0.0006727565944420819,202,198
2,2,400,20.4,0.17374559859154928,0.0027259585277857636,0.0006421057255090172,295,305
3,3,600,20.7,0.1768798828125,0.0020581087663346428,0.0004618445197930096,395,405
4,4,800,16.7,0.1774922520661157,0.0016231638973117498,0.0003718309398066763,502,498
5,5,1000,9.2,0.1743097174657534,0.0014623437753947697,0.0001980012158687216,603,597
6,6,1200,9.3,0.17004751461988304,0.0012092422214209364,0.0002078850427431534,708,692
7,7,1400,9.4,0.16766980229591838,0.0010551685937258983,0.00018723704096524442,807,793
8,8,1600,9.5,0.1654058257918552,0.0009776506989190692,0.00013439732025733673,899,901
9,9,1800,9.1,0.16202997967479674,0.0008574907851742429,0.00013162118248422286,1015,985
10,10,2000,9.2,0.15561577490774908,0.0008147905197218999,7.685836804509156e-05,1126,1074
11,11,2200,9.3,0.14961201435810811,0.0007501979928715004,6.427233837244573e-05,1233,1167
12,12,2400,9.3,0.14375243380062305,0.0006881583128742904,6.476841475849332e-05,1334,1266
13,13,2600,9.7,0.13780256502890173,0.0006549722342763211,3.725203403219374e-05,1450,1350
14,14,2800,9.1,0.13230710916442048,0.0005958302184944986,4.705621209611619e-05,1565,1435
15,15,3000,14.2,0.1277718592171717,0.0005663146330262465,3.615354251675117e-05,1668,1532
16,16,3200,19.8,0.1231999703087886,0.0005407540671522072,2.566570539254549e-05,1772,1628
17,17,3400,42.0,0.11893042320627803,0.0005088632326896625,2.265190703341263e-05,1889,1711
18,18,3600,12.7,0.1151058253715499,0.0004827481312208972,1.8911003516786023e-05,2001,1799
19,19,3800,10.7,0.11143838205645161,0.0004516077929266848,2.582572415724517e-05,2106,1894
20,20,4000,38.7,0.1079804462571977,0.00042955140114907676,2.281598674841633e-05,2223,1977
21,21,4200,200.0,0.10454584478021978,0.0004112351337718535,1.906723242592442e-05,2336,2064
22,22,4400,26.6,0.10132306260945709,0.00039620684629544005,1.4512409967691516e-05,2445,2155
23,23,4600,145.5,0.09861315016778524,0.00038135106794188887,1.3717091777104216e-05,2541,2259
24,24,4800,85.2,0.09591384863123993,0.0003600590867448909,1.7173280358071953e-05,2666,2334
25,25,5000,199.4,0.09364720394736842,0.0003495448033768897,1.376124791141902e-05,2765,2435
26,26,5200,200.0,0.09163678278688525,0.0003402704591449069,9.127520343139993e-06,2871,2529
27,27,5400,196.1,0.08949016702586207,0.00032185086562414364,1.5838346982249302e-05,2978,2622
28,28,5600,158.5,0.08771454576976422,0.0003123056443690255,1.2795570541542014e-05,3091,2709
29,29,5800,126.1,0.08616789544235925,0.00030013724206926634,1.5551778358135002e-05,3186,2814
30,30,6000,200.0,0.08472154669260701,0.0002878463795142518,1.8393249936839025e-05,3288,2912
31,31,6200,200.0,0.08330225345477386,0.00028396349238666424,1.2232656806563357e-05,3392,3008
32,32,6400,164.9,0.08191230207064555,0.0002732587346222656,1.431332579719702e-05,3497,3103
33,33,6600,117.9,0.08070146276595745,0.0002692244965598584,9.784581334458275e-06,3598,3202
34,34,6800,200.0,0.07956013203214696,0.0002599128859545497,1.153754409701457e-05,3701,3299
35,35,7000,136.7,0.07848685128348214,0.00025068447392936774,1.4080037924453627e-05,3798,3402
36,36,7200,186.6,0.07739549402823019,0.0002462102301394618,1.1298624340965355e-05,3901,3499
37,37,7400,111.7,0.07632465644820297,0.00024339131518526892,6.685480789292214e-06,4010,3590
38,38,7600,155.2,0.07524057028836251,0.00023512198994877495,9.118874072485343e-06,4110,3690
39,39,7800,140.4,0.07434817394578314,0.00023070043863133625,7.527204147752692e-06,4211,3789
40,40,8000,197.4,0.073503305582762,0.00022534996821371869,6.488388553257414e-06,4326,3874
41,41,8200,170.8,0.0727623087954111,0.00021384263086483607,1.402375698071686e-05,4415,3985
42,42,8400,157.0,0.07212155695611577,0.0002106604175519786,1.2544799974853027e-05,4503,4097
43,43,8600,179.1,0.07149934420620438,0.0002071111188501407,1.116592809414193e-05,4602,4198
44,44,8800,188.0,0.07083519179304193,0.00020310934495307927,1.0151041148655987e-05,4709,4291
45,45,9000,125.6,0.07022046793193717,0.00019925669636064214,8.863268080632369e-06,4824,4376
46,46,9200,193.4,0.06959863364645602,0.00019341003828365284,1.1052849356937066e-05,4914,4486
47,47,9400,138.9,0.06888195025083613,0.00018949174138879646,9.583818002840102e-06,5047,4553
48,48,9600,159.8,0.06833218161343162,0.00018763210828776872,7.1297095585548835e-06,5153,4647
49,49,9800,138.4,0.06778252909309791,0.00018427598505338957,6.553540830729968e-06,5258,4742
